success,family,n_qubits,n_t_gates,n_total_gates,ofd_success,ofd_fail,ofd_rate,final_chi,final_nu,final_S2,runtime,seed,extra_metadata,graph_type,code_distance,ansatz,n_layers,density,avg_clifford_depth,max_clifford_depth,min_clifford_depth,std_clifford_depth,avg_light_cone_width,max_light_cone_width,spatial_uniformity,depth_variance,n_gates
true,Random Clifford+T (Brick-wall),16,8,128,8,0,1.0,1,8,0.0,0.01011109352,2065508437,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.25,4.0,0.0,8.266666666666667,128.0
true,Random Clifford+T (Brick-wall),16,16,256,14,2,0.875,4,14,0.7005198167,190.998044,4018087663,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.0,31.2,256.0
true,Random Clifford+T (Brick-wall),16,16,256,15,1,0.9375,4,15,0.9440248672,250.0088849,3107735564,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.1339745962155614,30.666666666666668,256.0
true,Random Clifford+T (Brick-wall),16,16,256,15,1,0.9375,4,15,0.6502871894,191.6090648,392944935,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.75,4.0,0.0,33.46666666666667,256.0
true,Random Clifford+T (Brick-wall),16,16,256,15,1,0.9375,2,15,0.2457753667,54.98104119,1444075235,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5625,4.0,0.20943058495790512,34.8,256.0
true,Random Clifford+T (Brick-wall),16,16,256,15,1,0.9375,2,15,0.4164955307,283.929224,152833009,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.0,28.933333333333334,256.0
true,Random Clifford+T (Brick-wall),16,16,256,15,1,0.9375,4,15,0.9788306753,284.4631131,1601614789,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.0,26.666666666666668,256.0
true,Random Clifford+T (Brick-wall),16,16,256,16,0,1.0,1,16,0.0,0.01424789429,2769682813,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.4375,4.0,0.38762756430420553,28.133333333333333,256.0
true,Random Clifford+T (Brick-wall),16,16,256,16,0,1.0,1,16,0.0,0.006560087204,758637133,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.6875,4.0,0.1339745962155614,32.8,256.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,3.831119117,1916.820316,2809262760,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.6666666666666665,4.0,0.21826404002942834,71.86666666666666,384.0
