n_qubits,seed,t_index,control_j,rotation_k,cumulative_t,cumulative_rank,rank_delta
16,1888127998,246,1,13,246,1,0
16,1888127998,247,1,13,247,1,0
16,1888127998,248,1,13,248,1,0
16,1888127998,249,1,13,249,1,0
16,1888127998,250,1,13,250,1,0
16,1888127998,251,1,13,251,1,0
16,1888127998,252,1,13,252,1,0
16,1888127998,253,1,13,253,1,0
16,1888127998,254,1,13,254,1,0
16,1888127998,255,1,13,255,1,0
16,1888127998,256,1,13,256,1,0
16,1888127998,257,1,13,257,1,0
16,1888127998,258,1,13,258,1,0
16,1888127998,259,1,13,259,1,0
16,1888127998,260,1,13,260,1,0
16,1888127998,261,1,13,261,1,0
16,1888127998,262,1,13,262,1,0
16,1888127998,263,1,13,263,1,0
16,1888127998,264,1,13,264,1,0
16,1888127998,265,1,14,265,1,0
16,1888127998,266,1,14,266,1,0
16,1888127998,267,1,14,267,1,0
16,1888127998,268,1,14,268,1,0
16,1888127998,269,1,14,269,1,0
16,1888127998,270,1,14,270,1,0
16,1888127998,271,1,14,271,1,0
16,1888127998,272,1,14,272,1,0
16,1888127998,273,1,14,273,1,0
16,1888127998,274,1,14,274,1,0
16,1888127998,275,1,14,275,1,0
16,1888127998,276,1,14,276,1,0
16,1888127998,277,1,14,277,1,0
16,1888127998,278,1,14,278,1,0
16,1888127998,279,1,14,279,1,0
16,1888127998,280,1,14,280,1,0
16,1888127998,281,1,14,281,1,0
16,1888127998,282,1,14,282,1,0
16,1888127998,283,1,14,283,1,0
16,1888127998,284,1,14,284,1,0
16,1888127998,285,1,14,285,1,0
16,1888127998,286,1,14,286,1,0
16,1888127998,287,1,14,287,1,0
16,1888127998,288,1,14,288,1,0
16,1888127998,289,1,14,289,1,0
16,1888127998,290,1,14,290,1,0
16,1888127998,291,1,14,291,1,0
16,1888127998,292,1,14,292,1,0
16,1888127998,293,1,14,293,1,0
16,1888127998,294,1,14,294,1,0
16,1888127998,295,1,14,295,1,0
16,1888127998,296,1,14,296,1,0
16,1888127998,297,1,14,297,1,0
16,1888127998,298,1,14,298,1,0
16,1888127998,299,1,14,299,1,0
16,1888127998,300,1,14,300,1,0
16,1888127998,301,1,14,301,1,0
16,1888127998,302,1,14,302,1,0
16,1888127998,303,1,14,303,1,0
16,1888127998,304,1,14,304,1,0
16,1888127998,305,1,14,305,1,0
