family,n_qubits,seed,n_t_gates,n_ofd_success,n_ofd_fail,ofd_rate,n_pure_z,pure_z_rate,n_gf2_independent,gf2_independence_rate,first_fail_position,mean_pauli_weight
"Quantum Fourier Transform",32,2621789655,435,31,404,0.071264,145,0.333333,31,0.071264,0.002304,1.33
"Quantum Fourier Transform",32,2028404168,435,31,404,0.071264,145,0.333333,31,0.071264,0.002304,1.33
"Quantum Fourier Transform",64,2452666712,915,63,852,0.068852,305,0.333333,63,0.068852,0.001094,1.33
"Quantum Fourier Transform",64,2490764044,915,63,852,0.068852,305,0.333333,63,0.068852,0.001094,1.33
"Quantum Fourier Transform",64,1319282346,915,63,852,0.068852,305,0.333333,63,0.068852,0.001094,1.33
"Grover Search",4,2906364673,168,4,164,0.023810,60,0.357143,4,0.023810,0.011976,2.23
"Grover Search",4,314755104,168,4,164,0.023810,60,0.357143,4,0.023810,0.011976,2.23
"Grover Search",4,737785206,168,4,164,0.023810,60,0.357143,4,0.023810,0.011976,2.23
"Grover Search",8,574690560,2002,8,1994,0.003996,611,0.305195,8,0.003996,0.001000,1.93
"Grover Search",8,3845141401,2002,8,1994,0.003996,611,0.305195,8,0.003996,0.001000,1.93
"Grover Search",8,2579403545,2002,8,1994,0.003996,611,0.305195,8,0.003996,0.001000,1.93
"Grover Search",16,380528120,18900,16,18884,0.000847,5550,0.293651,16,0.000847,0.000106,1.80
"Grover Search",16,2573197004,18900,16,18884,0.000847,5550,0.293651,16,0.000847,0.000106,1.80
"Grover Search",16,652604681,18900,16,18884,0.000847,5550,0.293651,16,0.000847,0.000106,1.80
"VQE Hardware-Efficient Ansatz",4,368896310,413,4,409,0.009685,149,0.360775,4,0.009685,0.002427,1.72
"VQE Hardware-Efficient Ansatz",4,3510447316,408,4,404,0.009804,150,0.367647,4,0.009804,0.002457,1.69
"VQE Hardware-Efficient Ansatz",4,3813348539,415,4,411,0.009639,155,0.373494,4,0.009639,0.002415,1.67
"VQE Hardware-Efficient Ansatz",8,1810390868,817,8,809,0.009792,258,0.315789,8,0.009792,0.001225,2.32
"VQE Hardware-Efficient Ansatz",8,1573968121,816,8,808,0.009804,256,0.313725,8,0.009804,0.001227,2.30
"VQE Hardware-Efficient Ansatz",8,4239893556,830,8,822,0.009639,259,0.312048,8,0.009639,0.001206,2.36
"VQE Hardware-Efficient Ansatz",16,3194125106,1633,16,1617,0.009798,343,0.210043,16,0.009798,0.000613,3.54
"VQE Hardware-Efficient Ansatz",16,4132745617,1599,16,1583,0.010006,310,0.193871,16,0.010006,0.000626,3.55
"VQE Hardware-Efficient Ansatz",16,94888781,1651,16,1635,0.009691,542,0.328286,16,0.009691,0.000606,3.55
"VQE Hardware-Efficient Ansatz",32,3747219939,3292,32,3260,0.009721,964,0.292831,32,0.009721,0.000304,5.93
"VQE Hardware-Efficient Ansatz",32,2578943030,3260,32,3228,0.009816,763,0.234049,32,0.009816,0.000307,5.98
"VQE Hardware-Efficient Ansatz",32,1280062012,3311,32,3279,0.009665,1060,0.320145,32,0.009665,0.000302,5.96
"VQE Hardware-Efficient Ansatz",64,4204119701,6538,64,6474,0.009789,1626,0.248700,64,0.009789,0.000153,10.75
"VQE Hardware-Efficient Ansatz",64,4030221442,6501,64,6437,0.009845,1605,0.246885,64,0.009845,0.000154,10.72
"VQE Hardware-Efficient Ansatz",64,2581711373,6565,64,6501,0.009749,2009,0.306017,64,0.009749,0.000152,10.59
"QAOA MaxCut (p=1, 3-regular)",4,1978020549,4,1,3,0.250000,0,0.000000,2,0.500000,0.333333,2.50
"QAOA MaxCut (p=1, 3-regular)",4,2839873785,4,0,4,0.000000,4,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",4,4171426998,4,0,4,0.000000,4,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",8,3950527136,8,0,8,0.000000,8,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",8,364757929,8,6,2,0.750000,0,0.000000,7,0.875000,0.857143,3.88
"QAOA MaxCut (p=1, 3-regular)",8,2836002627,8,0,8,0.000000,8,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",16,1271221978,16,0,16,0.000000,16,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",16,3651059837,16,13,3,0.812500,0,0.000000,15,0.937500,0.133333,6.75
"QAOA MaxCut (p=1, 3-regular)",16,2053658657,16,0,16,0.000000,16,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",32,1073380808,32,30,2,0.937500,0,0.000000,31,0.968750,0.967742,10.69
"QAOA MaxCut (p=1, 3-regular)",32,4008984664,32,0,32,0.000000,32,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",32,3694697666,32,0,32,0.000000,32,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",64,1860272679,64,0,64,0.000000,64,1.000000,0,0.000000,0.000000,1.00
"QAOA MaxCut (p=1, 3-regular)",64,2557580324,64,0,64,0.000000,64,1.000000,0,0.000000,0.000000,1.00
