success,family,n_qubits,seed,n_t_gates,gf2_rank,nullity,nullity_ratio,n_amenable,n_not_amenable,amenability_rate,default_chi,default_ofd_rate,default_time,guided_chi,guided_ofd_rate,guided_time,n_ofd_skipped,chi_match,chi_ratio,time_savings,predicted_chi
true,"Bernstein-Vazirani",7,2732988605,7,5,2,0.285714,5,2,0.714286,2,1.000000,0.0013,2,0.714286,0.0012,2,true,1.000000,0.050471,4
true,"Bernstein-Vazirani",7,708757985,7,5,2,0.285714,5,2,0.714286,2,1.000000,0.0015,2,0.714286,0.0012,2,true,1.000000,0.181149,4
true,"Bernstein-Vazirani",7,1591964317,7,6,1,0.142857,6,1,0.857143,2,1.000000,0.0010,2,0.857143,0.0007,1,true,1.000000,0.267464,2
true,"Bernstein-Vazirani",8,2962253251,8,7,1,0.125000,6,2,0.750000,2,1.000000,0.0014,2,0.750000,0.0015,2,true,1.000000,-0.066722,2
true,"Bernstein-Vazirani",8,3317059533,8,6,2,0.250000,6,2,0.750000,2,1.000000,0.0017,2,0.750000,0.0018,2,true,1.000000,-0.046660,4
true,"Bernstein-Vazirani",8,813469445,8,4,4,0.500000,3,5,0.375000,2,1.000000,0.0035,2,0.375000,0.0032,5,true,1.000000,0.080127,16
true,"Bernstein-Vazirani",8,2526598907,8,5,3,0.375000,5,3,0.625000,2,1.000000,0.0044,2,0.625000,0.0023,3,true,1.000000,0.483005,8
true,"Simon's Algorithm",4,3868557124,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.0009,1,0.500000,0.0008,2,true,1.000000,0.120800,4
true,"Simon's Algorithm",4,3264523373,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.0007,1,0.500000,0.0006,2,true,1.000000,0.076840,4
true,"Simon's Algorithm",4,51692331,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0009,1,0.250000,0.0009,3,true,1.000000,0.040096,8
true,"Simon's Algorithm",4,1525669277,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.0006,1,0.500000,0.0010,2,true,1.000000,-0.533106,4
true,"Simon's Algorithm",6,3543603589,6,3,3,0.500000,3,3,0.500000,4,1.000000,0.0035,4,0.500000,0.0018,3,true,1.000000,0.491487,8
true,"Simon's Algorithm",6,1782835254,6,3,3,0.500000,3,3,0.500000,2,1.000000,0.0017,2,0.500000,0.0015,3,true,1.000000,0.132032,8
true,"Simon's Algorithm",6,311978443,6,2,4,0.666667,2,4,0.333333,2,1.000000,0.0019,2,0.333333,0.0034,4,true,1.000000,-0.828840,16
true,"Simon's Algorithm",6,3261794048,6,3,3,0.500000,3,3,0.500000,2,1.000000,0.0014,2,0.500000,0.0014,3,true,1.000000,0.004168,8
true,"Simon's Algorithm",8,3322650413,8,3,5,0.625000,3,5,0.375000,2,1.000000,0.0033,2,0.375000,0.0051,5,true,1.000000,-0.577786,32
true,"Simon's Algorithm",8,2455139255,8,4,4,0.500000,4,4,0.500000,4,1.000000,0.0027,4,0.500000,0.0025,4,true,1.000000,0.057381,16
true,"Simon's Algorithm",8,700365590,8,4,4,0.500000,4,4,0.500000,1,1.000000,0.0056,1,0.500000,0.0030,4,true,1.000000,0.464591,16
true,"Simon's Algorithm",8,1874760677,8,4,4,0.500000,4,4,0.500000,2,1.000000,0.0028,2,0.500000,0.0037,4,true,1.000000,-0.322253,16
true,"Deutsch-Jozsa",4,1932174861,4,3,1,0.250000,3,1,0.750000,1,1.000000,0.0008,1,0.750000,0.0004,1,true,1.000000,0.468711,2
true,"Deutsch-Jozsa",4,3814181670,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0045,1,0.250000,0.0010,3,true,1.000000,0.777141,8
true,"Deutsch-Jozsa",4,3660255379,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,0.000000,1
