success,family,n_qubits,seed,n_t_gates,n_total_gates,gf2_rank,nullity,nullity_ratio,rank_ratio,rank_to_t_ratio,t_density,xbit_density,n_disentanglable,n_not_disentanglable
True,"QAOA MaxCut (p=1, 3-regular)",8,2988357945,20,68,7,13,0.65,0.875,0.35,2.5,0.2,7,13
True,"QAOA MaxCut (p=1, 3-regular)",8,272900221,20,68,8,12,0.6,1.0,0.4,2.5,0.24375,7,13
True,"QAOA MaxCut (p=1, 3-regular)",8,1344533154,20,68,8,12,0.6,1.0,0.4,2.5,0.3,7,13
True,"QAOA MaxCut (p=1, 3-regular)",10,3233223629,25,85,10,15,0.6,1.0,0.4,2.5,0.176,9,16
True,"QAOA MaxCut (p=1, 3-regular)",10,2664437001,25,85,10,15,0.6,1.0,0.4,2.5,0.212,9,16
True,"QAOA MaxCut (p=1, 3-regular)",10,2913796011,25,85,10,15,0.6,1.0,0.4,2.5,0.184,9,16
True,"QAOA MaxCut (p=1, 3-regular)",10,2164525625,25,85,10,15,0.6,1.0,0.4,2.5,0.196,9,16
True,"QAOA MaxCut (p=1, 3-regular)",12,3243139590,30,102,12,18,0.6,1.0,0.4,2.5,0.152778,11,19
True,"QAOA MaxCut (p=1, 3-regular)",12,1870605108,30,102,12,18,0.6,1.0,0.4,2.5,0.208333,11,19
True,"QAOA MaxCut (p=1, 3-regular)",12,3322529788,30,102,12,18,0.6,1.0,0.4,2.5,0.188889,11,19
True,"QAOA MaxCut (p=1, 3-regular)",12,1881287517,30,102,11,19,0.633333,0.916667,0.366667,2.5,0.180556,11,19
True,"QAOA MaxCut (p=1, 3-regular)",14,1986795788,35,119,14,21,0.6,1.0,0.4,2.5,0.136735,13,22
True,"QAOA MaxCut (p=1, 3-regular)",14,1170084784,35,119,13,22,0.628571,0.928571,0.371429,2.5,0.183673,13,22
True,"QAOA MaxCut (p=1, 3-regular)",14,4273640496,35,119,14,21,0.6,1.0,0.4,2.5,0.161224,13,22
True,"QAOA MaxCut (p=1, 3-regular)",14,1859511217,35,119,14,21,0.6,1.0,0.4,2.5,0.159184,13,22
True,"QAOA MaxCut (p=1, 3-regular)",16,2783179034,40,136,15,25,0.625,0.9375,0.375,2.5,0.160938,15,25
True,"QAOA MaxCut (p=1, 3-regular)",16,765137845,40,136,15,25,0.625,0.9375,0.375,2.5,0.154688,15,25
True,"QAOA MaxCut (p=1, 3-regular)",16,655781808,40,136,15,25,0.625,0.9375,0.375,2.5,0.15625,15,25
True,"QAOA MaxCut (p=1, 3-regular)",16,1521926488,40,136,16,24,0.6,1.0,0.4,2.5,0.164062,15,25
True,"QAOA MaxCut (p=1, 3-regular)",20,2078643629,50,170,20,30,0.6,1.0,0.4,2.5,0.126,19,31
True,"QAOA MaxCut (p=1, 3-regular)",20,2972880493,50,170,20,30,0.6,1.0,0.4,2.5,0.132,19,31
True,"QAOA MaxCut (p=1, 3-regular)",20,531426528,50,170,20,30,0.6,1.0,0.4,2.5,0.124,19,31
True,"QAOA MaxCut (p=1, 3-regular)",20,1728309136,50,170,20,30,0.6,1.0,0.4,2.5,0.134,19,31
True,"QAOA MaxCut (p=1, 3-regular)",24,3882299640,60,204,23,37,0.616667,0.958333,0.383333,2.5,0.129167,23,37
True,"QAOA MaxCut (p=1, 3-regular)",24,3015190514,60,204,23,37,0.616667,0.958333,0.383333,2.5,0.1125,23,37
True,"QAOA MaxCut (p=1, 3-regular)",24,601830934,60,204,24,36,0.6,1.0,0.4,2.5,0.151389,23,37
True,"QAOA MaxCut (p=1, 3-regular)",24,1397404837,60,204,24,36,0.6,1.0,0.4,2.5,0.116667,23,37
True,"QAOA MaxCut (p=1, 3-regular)",32,2398184901,80,272,31,49,0.6125,0.96875,0.3875,2.5,0.098437,31,49
True,"QAOA MaxCut (p=1, 3-regular)",32,2813105342,80,272,32,48,0.6,1.0,0.4,2.5,0.096484,31,49
True,"QAOA MaxCut (p=1, 3-regular)",32,2674081872,80,272,32,48,0.6,1.0,0.4,2.5,0.089063,31,49
True,"QAOA MaxCut (p=1, 3-regular)",32,194079087,80,272,31,49,0.6125,0.96875,0.3875,2.5,0.105469,31,49
True,"QAOA MaxCut (p=1, 3-regular)",48,1346722803,120,408,47,73,0.608333,0.979167,0.391667,2.5,0.072396,47,73
True,"QAOA MaxCut (p=1, 3-regular)",48,285614762,120,408,48,72,0.6,1.0,0.4,2.5,0.085938,47,73
True,"QAOA MaxCut (p=1, 3-regular)",48,27051022,120,408,48,72,0.6,1.0,0.4,2.5,0.076563,47,73
True,"QAOA MaxCut (p=1, 3-regular)",48,2658671792,120,408,48,72,0.6,1.0,0.4,2.5,0.072222,47,73
True,"QAOA MaxCut (p=1, 3-regular)",64,1167048128,160,544,61,99,0.61875,0.953125,0.38125,2.5,0.069824,63,97
True,"QAOA MaxCut (p=1, 3-regular)",64,3508696494,160,544,63,97,0.60625,0.984375,0.39375,2.5,0.075586,63,97
True,"QAOA MaxCut (p=1, 3-regular)",64,2608559284,160,544,64,96,0.6,1.0,0.4,2.5,0.06543,63,97
True,"QAOA MaxCut (p=1, 3-regular)",64,2911646779,160,544,61,99,0.61875,0.953125,0.38125,2.5,0.073926,63,97
True,Surface Code,5,1913349348,4,84,2,2,0.5,0.4,0.5,0.8,0.2,2,2
True,Surface Code,5,1719983433,4,84,1,3,0.75,0.2,0.25,0.8,0.2,1,3
True,Surface Code,5,2377890921,4,60,1,3,0.75,0.2,0.25,0.8,0.2,1,3
True,Surface Code,5,3744168465,4,84,2,2,0.5,0.4,0.5,0.8,0.2,2,2
True,Surface Code,5,721826784,5,85,2,3,0.6,0.4,0.4,1.0,0.2,2,3
True,Surface Code,5,2801669116,5,85,2,3,0.6,0.4,0.4,1.0,0.2,2,3
True,Surface Code,5,962401833,5,85,2,3,0.6,0.4,0.4,1.0,0.2,2,3
True,Surface Code,5,429681914,5,61,2,3,0.6,0.4,0.4,1.0,0.2,2,3
True,Surface Code,8,3339551602,6,130,2,4,0.666667,0.25,0.333333,0.75,0.104167,2,4
True,Surface Code,8,3214044198,6,108,2,4,0.666667,0.25,0.333333,0.75,0.0625,2,4
True,Surface Code,8,2683045133,6,130,3,3,0.5,0.375,0.5,0.75,0.104167,3,3
True,Surface Code,8,3902273269,6,152,2,4,0.666667,0.25,0.333333,0.75,0.125,2,4
